flight_id,hardware_id,start_at_utc,field_land_uuid,land_revision_id,raw_area_m2,area_status,v4_summary_id,contour_reason,coverage_status,reason,unique_application_ha,unique_application_inside_field_ha,application_outside_field_ha,swath_integral_ha,s_minus_u_ha,repeated_application_ha,s_over_u,painted_swath_total_ha,flown_not_applied_ha,repeated_share_of_unique,contour_ha,contour_status,cell_m,coarsened,widths_used_m,s_single_width,segment_length_m,uncertainty_percent,thresholds,discriminating
688472021,1581F574B235W00100Q5,2026-08-17 20:32:32,,,1540.0,RAW_UNVERIFIED,34,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,0.1598,,,0.1553,-0.0045,,0.972,0.1794,0.0196,-0.028,,CONTOUR_ABSENT,0.5,False,"6.3,8.0",False,"{""APPLICATION_EDGE"": 0.6440905022277448, ""NO_APPLICATION"": 26.37834696780669, ""WORK"": 194.1855592516223}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.25, ""swath_work_ha"": 0.25}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
688472022,1581F574B235W00100Q5,2026-08-17 20:33:34,3fed5a46-2991-4a7e-b721-1f819790cfb6,954,3773.0,RAW_UNVERIFIED,35,HISTORICAL_GEOMETRY_NOT_PROVEN,NO_CONFIRMED_APPLICATION,NO_WIDTH,,,,,,,,,,,,CONTOUR_ABSENT,,,,False,"{""NO_APPLICATION"": 36.561903823185375, ""NO_WIDTH"": 107.89033542883773}",{},{},False
688472024,1581F574B235W00100Q5,2026-08-17 20:34:06,3fed5a46-2991-4a7e-b721-1f819790cfb6,954,1300.0,RAW_UNVERIFIED,36,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,0.3562,,,0.3475,-0.0087,,0.9755,0.4876,0.1314,-0.0245,,CONTOUR_ABSENT,0.5,False,6.3,True,"{""APPLICATION_EDGE"": 1.2728192163020795, ""NO_APPLICATION"": 228.19791950070433, ""NO_WIDTH"": 0.516785609890315, ""WORK"": 551.535445911313}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.056, ""swath_work_ha"": 0.056}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
688474689,1581F574B235W00100Q5,2026-08-17 20:39:18,6cbfa0e1-3225-465e-9d26-f516850041fe,956,9746.0,RAW_CORROBORATED_QUALIFIED,38,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,0.9692,,,0.9481,-0.0211,,0.9782,1.0152,0.046,-0.0218,,CONTOUR_ABSENT,0.5,False,6.2,True,"{""APPLICATION_EDGE"": 3.013200124515263, ""GAP"": 10.814607028800827, ""NO_APPLICATION"": 157.6343435052891, ""NO_WIDTH"": 715.4358699675274, ""STANDSTILL"": 0.0, ""WORK"": 1529.1600880419232}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.062, ""swath_work_ha"": 0.062}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
688479512,1581F574B235W00100Q5,2026-08-17 20:49:26,6cbfa0e1-3225-465e-9d26-f516850041fe,956,9533.0,RAW_CORROBORATED_QUALIFIED,43,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,0.9562,,,0.9352,-0.021,,0.978,1.0153,0.0591,-0.022,,CONTOUR_ABSENT,0.5,False,6.2,True,"{""APPLICATION_EDGE"": 3.1086482967978677, ""NO_APPLICATION"": 185.19922435205595, ""NO_WIDTH"": 709.0949420396855, ""STANDSTILL"": 0.0, ""WORK"": 1508.390177058576}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.167, ""swath_work_ha"": 0.167}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
688484359,1581F574B235W00100Q5,2026-08-17 21:00:52,6cbfa0e1-3225-465e-9d26-f516850041fe,956,9626.0,RAW_CORROBORATED_QUALIFIED,46,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,0.964,,,0.9563,-0.0077,,0.992,1.04,0.076,-0.008,,CONTOUR_ABSENT,0.5,False,6.2,True,"{""APPLICATION_EDGE"": 2.7083660157488167, ""NO_APPLICATION"": 159.36900168402929, ""NO_WIDTH"": 660.4285549228277, ""STANDSTILL"": 0.0, ""WORK"": 1542.41281958638}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.093, ""swath_work_ha"": 0.093}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
688488264,1581F574B235W00100Q5,2026-08-17 21:10:50,6cbfa0e1-3225-465e-9d26-f516850041fe,956,3386.0,RAW_CORROBORATED_QUALIFIED,49,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,0.4135,,,0.4102,-0.0033,,0.9921,0.4789,0.0654,-0.0079,,CONTOUR_ABSENT,0.5,False,6.2,True,"{""APPLICATION_EDGE"": 0.780041134033566, ""NO_APPLICATION"": 107.90995110309409, ""NO_WIDTH"": 587.7560567401939, ""STANDSTILL"": 0.0, ""WORK"": 661.6449267072863}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.121, ""swath_work_ha"": 0.121}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
688530993,1581F574B235W00100Q5,2026-08-17 22:27:28,84b553f3-6812-440b-a59f-61b59c0f7332,957,9853.0,RAW_CORROBORATED_QUALIFIED,64,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,0.9911,,,0.9788,-0.0123,,0.9876,1.0153,0.0242,-0.0124,,CONTOUR_ABSENT,0.5,False,6.3,True,"{""APPLICATION_EDGE"": 2.192288044731326, ""NO_APPLICATION"": 88.93070146554375, ""NO_WIDTH"": 10.532905189213691, ""STANDSTILL"": 0.0, ""WORK"": 1553.6119171250896}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.05, ""swath_work_ha"": 0.05}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
688540927,1581F574B235W00100Q5,2026-08-17 22:38:59,84b553f3-6812-440b-a59f-61b59c0f7332,957,9813.0,RAW_CORROBORATED_QUALIFIED,70,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,0.9908,,,0.9742,-0.0166,,0.9832,1.0365,0.0457,-0.0168,,CONTOUR_ABSENT,0.5,False,6.3,True,"{""APPLICATION_EDGE"": 2.5408326371749634, ""NO_APPLICATION"": 159.8308104450025, ""NO_WIDTH"": 47.06810610645026, ""STANDSTILL"": 0.0, ""WORK"": 1546.296562176926}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.05, ""swath_work_ha"": 0.05}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
688551463,1581F574B235W00100Q5,2026-08-17 22:50:52,84b553f3-6812-440b-a59f-61b59c0f7332,957,9573.0,RAW_CORROBORATED_QUALIFIED,73,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,0.9623,,,0.9465,-0.0158,,0.9836,1.0489,0.0866,-0.0164,,CONTOUR_ABSENT,0.5,False,6.3,True,"{""APPLICATION_EDGE"": 2.534415896892691, ""NO_APPLICATION"": 257.8342115359093, ""NO_WIDTH"": 101.2858065849386, ""STANDSTILL"": 0.0, ""WORK"": 1502.4039420976922}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.062, ""swath_work_ha"": 0.062}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
688562465,1581F574B235W00100Q5,2026-08-17 23:01:40,84b553f3-6812-440b-a59f-61b59c0f7332,957,10106.0,RAW_CORROBORATED_QUALIFIED,76,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,1.0193,,,1.0031,-0.0162,,0.9841,1.1156,0.0963,-0.0159,,CONTOUR_ABSENT,0.5,False,6.3,True,"{""APPLICATION_EDGE"": 2.576644492861474, ""NO_APPLICATION"": 342.0850332375617, ""NO_WIDTH"": 143.59999417435196, ""STANDSTILL"": 0.0, ""WORK"": 1592.1908765436683}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.088, ""swath_work_ha"": 0.088}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
