flight_id,hardware_id,start_at_utc,end_at_utc,report_start_date,raw_area_m2,corrected_recorded_area_m2,counter_observed_delta_m2,controller_delta_area_m2,area_status,area_confidence,aggregation_eligibility,anomaly_flags_json,application_activity,application_channel_quality,area_algorithm_version,v4_summary_id,calculation_input_hash,field_attribution_tier,field_attribution_method,field_land_uuid,linked_land_uuid,geometry_holder_land_uuid,attribution_geometry_md5,land_snapshot_id,land_revision_id,historical_geometry_available,historical_geometry_sha256,field_name_at_snapshot,field_input_hash,v4_revision_id,route_revision_id,list_spray_width,v4_identity_status,route_identity_status,list_start_ts,list_end_ts,v4_summary_row_id,v4_summary_source_id,span_s,frame_count,application_frames,moving_application_distance_m,width_min,width_max,v4_summary_parser_version
688472021,1581F574B235W00100Q5,2026-08-17 20:32:32,2026-08-17 20:33:34,2026-08-18,1540.0,1540.0,1539.9999618530273,,RAW_UNVERIFIED,LOW,PROVISIONAL,"[""V4_WINDOW_INCOMPLETE"", ""LIST_FROM_MUTABLE_RAW_JSON""]",PRESENT,INFORMATIVE,dji-area-evidence-2026-09-08-final-1-impl-3,34,9a283313483b2423a551b48ca03c3191cce6198ceebdf870f1d788a87c3cdda1,TIER5_UNKNOWN,MANUAL_NO_KEY,,,,,,,0,,,00f94703e33d40ab95ca31ca4460bc4e4f0080ce6bf336aa14a4c9ff2b4235f9,15,14,,URL_PATH_MATCH,OK,1786998752,1786998814,34,15,61.8,619,272,193.9,6.300000190734863,8.0,v4-parse-1
688472022,1581F574B235W00100Q5,2026-08-17 20:33:34,2026-08-17 20:34:06,2026-08-18,3773.0,3773.0,0.0,,RAW_UNVERIFIED,LOW,PROVISIONAL,"[""V4_WINDOW_INCOMPLETE"", ""LIST_FROM_MUTABLE_RAW_JSON""]",PRESENT,INFORMATIVE,dji-area-evidence-2026-09-08-final-1-impl-3,35,13eb63fe17f452fed11e56431bae2777ccbb744188f4b2da8881493e5f016056,TIER2_STRONG,PLAIN_MD5_CATALOG_MATCH_BYTES_UNAVAILABLE,3fed5a46-2991-4a7e-b721-1f819790cfb6,,3fed5a46-2991-4a7e-b721-1f819790cfb6,35ef24ff2d17a25fd6e72d206924226a,1,954,0,,ShukrulloBerdizamini,346362cfa5e0dd509a96e02abc73d711050c11c1f61d8b869166d543889bae4f,18,17,6.360000133514404,URL_PATH_MATCH,OK,1786998814,1786998846,35,18,31.8,319,1,0.0,6.300000190734863,8.0,v4-parse-1
688472024,1581F574B235W00100Q5,2026-08-17 20:34:06,2026-08-17 20:36:50,2026-08-18,1300.0,1300.0,1300.0001907348633,,RAW_UNVERIFIED,LOW,PROVISIONAL,"[""V4_WINDOW_INCOMPLETE"", ""LIST_FROM_MUTABLE_RAW_JSON""]",PRESENT,INFORMATIVE,dji-area-evidence-2026-09-08-final-1-impl-3,36,f272e7d4f2444868550d5a7d00eb141d9023bba9d999695f81218ac5d1ab62a5,TIER2_STRONG,PLAIN_MD5_CATALOG_MATCH_BYTES_UNAVAILABLE,3fed5a46-2991-4a7e-b721-1f819790cfb6,,3fed5a46-2991-4a7e-b721-1f819790cfb6,35ef24ff2d17a25fd6e72d206924226a,1,954,0,,ShukrulloBerdizamini,346362cfa5e0dd509a96e02abc73d711050c11c1f61d8b869166d543889bae4f,21,20,6.360000133514404,URL_PATH_MATCH,OK,1786998846,1786999010,36,21,163.1,1632,800,550.9,6.300000190734863,6.300000190734863,v4-parse-1
688474689,1581F574B235W00100Q5,2026-08-17 20:39:18,2026-08-17 20:47:01,2026-08-18,9746.0,9746.0,9760.000051309664,,RAW_CORROBORATED_QUALIFIED,MEDIUM,PROVISIONAL,"[""COUNTER_LEADING_OMISSION"", ""LIST_FROM_MUTABLE_RAW_JSON""]",PRESENT,INFORMATIVE,dji-area-evidence-2026-09-08-final-1-impl-3,38,231a97aef7f7ab5862bb593bad03a24f10b3b396fb59991b90caaae10cfcf061,TIER2_STRONG,PLAIN_MD5_CATALOG_MATCH_BYTES_UNAVAILABLE,6cbfa0e1-3225-465e-9d26-f516850041fe,,6cbfa0e1-3225-465e-9d26-f516850041fe,1c7f211d8609083bd36d29fd2fdaffee,1,956,0,,ShukrulloBerdizamini,29ad5c2eb6d0ae460d8ee8644642153034db55ff0edf13b3ec31847017518657,24,23,6.289999961853027,URL_PATH_MATCH,OK,1786999158,1786999621,38,24,463.0,4631,2688,1541.7,6.199999809265137,6.199999809265137,v4-parse-1
688479512,1581F574B235W00100Q5,2026-08-17 20:49:26,2026-08-17 20:57:20,2026-08-18,9533.0,9533.0,9533.333130180836,,RAW_CORROBORATED_QUALIFIED,MEDIUM,PROVISIONAL,"[""COUNTER_LEADING_OMISSION"", ""LIST_FROM_MUTABLE_RAW_JSON""]",PRESENT,INFORMATIVE,dji-area-evidence-2026-09-08-final-1-impl-3,43,f82562f9943a162c27e691a836a9d336dd5ac5bb7083a66e35955a9fa069996b,TIER2_STRONG,PLAIN_MD5_CATALOG_MATCH_BYTES_UNAVAILABLE,6cbfa0e1-3225-465e-9d26-f516850041fe,,6cbfa0e1-3225-465e-9d26-f516850041fe,1c7f211d8609083bd36d29fd2fdaffee,1,956,0,,ShukrulloBerdizamini,29ad5c2eb6d0ae460d8ee8644642153034db55ff0edf13b3ec31847017518657,36,35,6.289999961853027,URL_PATH_MATCH,OK,1786999766,1787000240,43,36,474.5,4746,2678,1509.3,6.199999809265137,6.199999809265137,v4-parse-1
688484359,1581F574B235W00100Q5,2026-08-17 21:00:52,2026-08-17 21:08:34,2026-08-18,9626.0,9626.0,9633.333511650562,,RAW_CORROBORATED_QUALIFIED,MEDIUM,PROVISIONAL,"[""COUNTER_LEADING_OMISSION"", ""LIST_FROM_MUTABLE_RAW_JSON""]",PRESENT,INFORMATIVE,dji-area-evidence-2026-09-08-final-1-impl-3,46,7cdc6399c538116cdf91d15a66d009e8fe0a6a15c51891404de400c5a9ff33fa,TIER2_STRONG,PLAIN_MD5_CATALOG_MATCH_BYTES_UNAVAILABLE,6cbfa0e1-3225-465e-9d26-f516850041fe,,6cbfa0e1-3225-465e-9d26-f516850041fe,1c7f211d8609083bd36d29fd2fdaffee,1,956,0,,ShukrulloBerdizamini,29ad5c2eb6d0ae460d8ee8644642153034db55ff0edf13b3ec31847017518657,42,41,6.289999961853027,URL_PATH_MATCH,OK,1787000452,1787000914,46,42,462.3,4624,2756,1540.9,6.199999809265137,6.199999809265137,v4-parse-1
688488264,1581F574B235W00100Q5,2026-08-17 21:10:50,2026-08-17 21:16:20,2026-08-18,3386.0,3386.0,3379.9999492863813,,RAW_CORROBORATED_QUALIFIED,MEDIUM,PROVISIONAL,"[""COUNTER_LEADING_OMISSION"", ""LIST_FROM_MUTABLE_RAW_JSON""]",PRESENT,INFORMATIVE,dji-area-evidence-2026-09-08-final-1-impl-3,49,a5c7ee1958c7fe4e1f3bb34bd9eed78b1180e9eaa0f1270cc9de42304e5756e6,TIER2_STRONG,PLAIN_MD5_CATALOG_MATCH_BYTES_UNAVAILABLE,6cbfa0e1-3225-465e-9d26-f516850041fe,,6cbfa0e1-3225-465e-9d26-f516850041fe,1c7f211d8609083bd36d29fd2fdaffee,1,956,0,,ShukrulloBerdizamini,29ad5c2eb6d0ae460d8ee8644642153034db55ff0edf13b3ec31847017518657,48,47,6.289999961853027,URL_PATH_MATCH,OK,1787001050,1787001380,49,48,330.6,3307,1660,655.5,6.199999809265137,6.199999809265137,v4-parse-1
688530993,1581F574B235W00100Q5,2026-08-17 22:27:28,2026-08-17 22:33:40,2026-08-18,9853.0,9853.0,9846.666488796473,,RAW_CORROBORATED_QUALIFIED,MEDIUM,PROVISIONAL,"[""COUNTER_LEADING_OMISSION"", ""LIST_FROM_MUTABLE_RAW_JSON""]",PRESENT,INFORMATIVE,dji-area-evidence-2026-09-08-final-1-impl-3,64,98724414d8855f5f2c561332d09660c72073cea0708b3d9404d5f08e7131bb8b,TIER2_STRONG,PLAIN_MD5_CATALOG_MATCH_BYTES_UNAVAILABLE,84b553f3-6812-440b-a59f-61b59c0f7332,,84b553f3-6812-440b-a59f-61b59c0f7332,5936e0a4bc160fc03c62ba72423bfa1b,1,957,0,,ShukrulloBerdizamini,407c24d4cf09dfb3f241a90a7c85ed2c50a17d8d2505115f16c5cd67c07f7e61,78,77,6.309999942779541,URL_PATH_MATCH,OK,1787005648,1787006020,64,78,372.8,3729,2790,1554.8,6.300000190734863,6.300000190734863,v4-parse-1
688540927,1581F574B235W00100Q5,2026-08-17 22:38:59,2026-08-17 22:45:28,2026-08-18,9813.0,9813.0,9833.333486070234,,RAW_CORROBORATED_QUALIFIED,MEDIUM,PROVISIONAL,"[""COUNTER_LEADING_OMISSION"", ""LIST_FROM_MUTABLE_RAW_JSON""]",PRESENT,INFORMATIVE,dji-area-evidence-2026-09-08-final-1-impl-3,70,36af006158efabb73a1155f8f7c1037e8f645cde4be9bd4c9ec796a309fae4ad,TIER2_STRONG,PLAIN_MD5_CATALOG_MATCH_BYTES_UNAVAILABLE,84b553f3-6812-440b-a59f-61b59c0f7332,,84b553f3-6812-440b-a59f-61b59c0f7332,5936e0a4bc160fc03c62ba72423bfa1b,1,957,0,,ShukrulloBerdizamini,407c24d4cf09dfb3f241a90a7c85ed2c50a17d8d2505115f16c5cd67c07f7e61,84,83,6.309999942779541,URL_PATH_MATCH,OK,1787006339,1787006728,70,84,389.1,3892,2820,1546.6,6.300000190734863,6.300000190734863,v4-parse-1
688551463,1581F574B235W00100Q5,2026-08-17 22:50:52,2026-08-17 22:57:35,2026-08-18,9573.0,9573.0,9593.333079169193,,RAW_CORROBORATED_QUALIFIED,MEDIUM,PROVISIONAL,"[""COUNTER_LEADING_OMISSION"", ""LIST_FROM_MUTABLE_RAW_JSON""]",PRESENT,INFORMATIVE,dji-area-evidence-2026-09-08-final-1-impl-3,73,6b4154ca4d472da6990fe7319eb07e9af4149ae8978460689a9ec8d4f435fafb,TIER2_STRONG,PLAIN_MD5_CATALOG_MATCH_BYTES_UNAVAILABLE,84b553f3-6812-440b-a59f-61b59c0f7332,,84b553f3-6812-440b-a59f-61b59c0f7332,5936e0a4bc160fc03c62ba72423bfa1b,1,957,0,,ShukrulloBerdizamini,407c24d4cf09dfb3f241a90a7c85ed2c50a17d8d2505115f16c5cd67c07f7e61,93,92,6.309999942779541,URL_PATH_MATCH,OK,1787007052,1787007455,73,93,403.8,4039,2740,1503.9,6.300000190734863,6.300000190734863,v4-parse-1
