flight_id,field_attribution_tier,field_land_uuid,land_snapshot_id,land_revision_id,attribution_geometry_md5,historical_geometry_available,historical_geometry_sha256,polygon_vintage
689299532,TIER2_STRONG,e4031958-c11d-46fa-8971-0e75929126c6,1,958,0c7e02caf9e12a43541a8422b71b13aa,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
689301846,TIER5_UNKNOWN,,,,,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
689306078,TIER2_STRONG,e0098beb-7925-4621-8984-b0515c676dea,1,959,8276c36a3cd4c0836e0f5d8b41e97ab2,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
689308041,TIER2_STRONG,e0098beb-7925-4621-8984-b0515c676dea,1,959,8276c36a3cd4c0836e0f5d8b41e97ab2,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
689310231,TIER2_STRONG,e0098beb-7925-4621-8984-b0515c676dea,1,959,8276c36a3cd4c0836e0f5d8b41e97ab2,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
689313066,TIER2_STRONG,e0098beb-7925-4621-8984-b0515c676dea,1,959,8276c36a3cd4c0836e0f5d8b41e97ab2,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
689316557,TIER2_STRONG,e0098beb-7925-4621-8984-b0515c676dea,1,959,8276c36a3cd4c0836e0f5d8b41e97ab2,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
689319791,TIER2_STRONG,e0098beb-7925-4621-8984-b0515c676dea,1,959,8276c36a3cd4c0836e0f5d8b41e97ab2,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688454966,TIER2_STRONG,13807304-d871-4314-b10f-3dfa47f182c7,1,1166,f322ed11006c691ee87fad5f46130aa6,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688458283,TIER2_STRONG,13807304-d871-4314-b10f-3dfa47f182c7,1,1166,f322ed11006c691ee87fad5f46130aa6,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688460771,TIER2_STRONG,13807304-d871-4314-b10f-3dfa47f182c7,1,1166,f322ed11006c691ee87fad5f46130aa6,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688460773,TIER5_UNKNOWN,,,,,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688460774,TIER5_UNKNOWN,,,,,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
688464465,TIER2_STRONG,d2cecf61-710c-4845-a59c-f8e462a7133f,1,1168,67fce0d495d8dd870ef94cdfed3d3ceb,0,,UNKNOWN_CURRENT_SNAPSHOT_ONLY
